============================= test session starts =============================
platform win32 -- Python 3.12.6, pytest-8.3.4, pluggy-1.5.0 -- C:\Python312\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\cabra\Projects\LifeOS
configfile: pytest.ini
testpaths: runtime/tests, tests_doc, tests_recursive
plugins: anyio-4.7.0, asyncio-1.3.0, cov-6.2.1, mockito-0.0.4
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 786 items

runtime/tests/test_agent_api.py::TestCanonicalJson::test_deterministic_output PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_sorted_keys PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_no_whitespace PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_utf8_encoding PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_preserves_array_order PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_rejects_nan_fail_closed PASSED [  0%]
runtime/tests/test_agent_api.py::TestCanonicalJson::test_rejects_infinity_fail_closed PASSED [  0%]
runtime/tests/test_agent_api.py::TestDeterministicIds::test_run_id_deterministic_stability PASSED [  1%]
runtime/tests/test_agent_api.py::TestDeterministicIds::test_run_id_changes_with_different_inputs PASSED [  1%]
runtime/tests/test_agent_api.py::TestDeterministicIds::test_call_id_deterministic_stability PASSED [  1%]
runtime/tests/test_agent_api.py::TestDeterministicIds::test_call_id_changes_with_different_role PASSED [  1%]
runtime/tests/test_agent_api.py::TestHashChainLogging::test_genesis_constant PASSED [  1%]
runtime/tests/test_agent_api.py::TestHashChainLogging::test_first_entry_uses_genesis PASSED [  1%]
runtime/tests/test_agent_api.py::TestHashChainLogging::test_chain_integrity PASSED [  1%]
runtime/tests/test_agent_api.py::TestHashChainLogging::test_chain_detects_tampering PASSED [  1%]
runtime/tests/test_amu0_hash_chain.py::TestAMU0HashChain::test_append_creates_chain PASSED [  2%]
runtime/tests/test_amu0_hash_chain.py::TestAMU0HashChain::test_chain_verification_passes PASSED [  2%]
runtime/tests/test_amu0_hash_chain.py::TestAMU0HashChain::test_tampered_chain_fails PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_create_baseline_duplicate_raises PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_create_baseline_manifest_integrity PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_create_baseline_missing_timestamp_raises PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_create_baseline_single_file PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_create_restore_deterministic PASSED [  2%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_list_baselines PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_promote_nonexistent_raises PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_promote_run PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_restore_byte_identical PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_restore_from_baseline PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_restore_nonexistent_raises PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_verify_corrupted_manifest_fails PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_verify_nonexistent_fails PASSED [  3%]
runtime/tests/test_amu0_lineage.py::TestAMU0Lineage::test_verify_valid_baseline PASSED [  4%]
runtime/tests/test_api_boundary.py::test_api_boundary_enforcement PASSED [  4%]
runtime/tests/test_attestation_recording.py::TestAttestationRecording::test_attestation_captures_primitives PASSED [  4%]
